Coil,Current [A]
F8,8849.56
F1,10722.80
F7,2008.87
F2,7957.39
F6,-20679.79
F3,-20015.02
F5,10227.39
F4,-8263.36
D2,7246.01
D1,6037.09
C2,6433.80
C1,4002.06
B2,8855.97
B1,4594.60
E8,6458.42
E1,1978.65
E7,-1904.82
E2,-2917.89
E6,-19821.54
E3,18226.72
E5,-11201.68
E4,-25174.02
T1,1970.33
T2,1499.29
T3,1430.15
Solenoid,29999.97
passive_0,0.00
passive_1,0.00
passive_2,0.00
passive_3,0.00
passive_4,0.00
passive_5,0.00
P1,0.00
P2,0.00
P3,0.00
P4,0.00
P5,0.00
P6,0.00
P7,0.00
P8,0.00
P9,0.00
P10,0.00
P11,0.00
P12,0.00
P13,0.00
P14,0.00
P15,0.00
P16,0.00
P17,0.00
P18,0.00
P19,0.00
P20,0.00
